Date,Close/Last,Volume,Open,High,Low
04/12/2024,$138.88,962,$136.75,$138.88,$136.3199
04/11/2024,$136.50,1669,$138.25,$139.85,$136.50
04/10/2024,$136.25,701,$134.20,$136.25,$134.20
04/09/2024,$134.7599,1281,$133.91,$137.10,$133.91
04/08/2024,$136.64,1461,$128.65,$136.64,$128.65
04/05/2024,$133.22,1097,$133.40,$133.40,$133.22
04/04/2024,$137.35,680,$136.00,$137.35,$136.00
04/03/2024,$131.7649,1469,$134.64,$134.64,$129.71
04/02/2024,$131.66,572,$131.66,$131.66,$131.66
04/01/2024,$135.80,1496,$129.54,$135.84,$129.54
03/28/2024,$136.96,2850,$135.90,$136.96,$133.9799
03/27/2024,$134.7049,2917,$133.00,$135.08,$133.00
03/26/2024,$130.55,2378,$130.25,$130.55,$129.50
03/25/2024,$133.22,1361,$133.36,$133.42,$133.22
03/22/2024,$132.37,1334,$134.50,$134.50,$132.37
03/21/2024,$131.00,701,$131.00,$131.00,$131.00
03/20/2024,$130.99,1800,$129.50,$130.99,$129.50
03/19/2024,$129.94,790,$127.30,$129.94,$127.30
03/18/2024,$130.91,823,$133.08,$133.08,$130.91
03/15/2024,$131.4199,1045,$134.85,$134.85,$131.4199
03/14/2024,$134.125,1144,$135.90,$135.90,$131.875
03/13/2024,$136.40,480,$133.53,$136.40,$133.53
03/12/2024,$133.3199,2194,$136.06,$136.06,$133.3199
03/11/2024,$133.375,1757,$133.16,$134.25,$132.50
03/08/2024,$131.125,1409,$133.40,$133.40,$131.125
03/07/2024,$129.25,1011,$133.45,$133.45,$128.7825
03/06/2024,$128.90,890,$130.35,$130.35,$128.90
03/05/2024,$126.00,1721,$128.00,$128.00,$126.00
03/04/2024,$129.65,1484,$128.59,$129.65,$127.00
03/01/2024,$130.00,5153,$127.375,$130.00,$126.25
02/29/2024,$126.625,7341,$126.9261,$126.9261,$126.625
02/28/2024,$131.00,N/A,$131.00,$131.00,$131.00
02/27/2024,$131.00,965,$127.75,$131.00,$127.75
02/26/2024,$129.99,1213,$133.10,$133.10,$129.99
02/23/2024,$129.15,4487,$126.50,$129.71,$126.50
02/22/2024,$126.4684,2399,$125.925,$127.34,$123.91
02/21/2024,$127.00,3171,$127.375,$129.60,$127.00
02/20/2024,$128.50,1797,$129.78,$129.90,$128.12
02/16/2024,$127.38,1312,$126.42,$127.38,$126.42
